feature,mean_positive_shap,mean_abs_shap,mean_signed_shap,positive_rank
Coprococcus_comes,0.0005046482891705449,0.0010402156697648694,-3.091909142377906e-05,110
Clostridium_aldenense,0.0005030901061362223,0.0008846987695656221,0.00012148144270682244,111
Bacteroides_cellulosilyticus,0.0004943697269487159,0.0011685034392273543,-0.00017976398532992387,112
Dorea_longicatena,0.00048787577291932395,0.0012253325298806547,-0.00024958098404200685,113
Erysipelatoclostridium_ramosum,0.000484622564736933,0.0009261698280091152,4.307530146475101e-05,114
Catabacter_hongkongensis,0.00048198112636330814,0.0009405082293592983,2.345402336731868e-05,115
Ruminococcus_lactaris,0.00046936057778826314,0.0008401798293014912,9.854132627503487e-05,116
Ruminococcus_bromii,0.00046587304049822256,0.001231173888916217,-0.00029942780791977124,117
Enorma_massiliensis,0.0004624544354273668,0.0010356910834968937,-0.00011078221264215914,118
Roseburia_inulinivorans,0.0004452190196744308,0.00113157325025908,-0.00024113521091021818,119
Desulfovibrio_piger,0.00044052393262961753,0.0012565819693001043,-0.00037553410404087006,120
Bifidobacterium_pseudocatenulatum,0.0004146586085468884,0.0009520627076814908,-0.00012274549058771377,121
Butyricimonas_synergistica,0.00041443535073986537,0.0009044153653416064,-7.554466386187606e-05,122
Alistipes_putredinis,0.00041002837037236656,0.0008084549583973921,1.160178234734085e-05,123
Gemella_sanguinis,0.0004093008561390911,0.0007926012360036301,2.6000476274551934e-05,124
Christensenella_minuta,0.0004008363845600261,0.0009098468849893405,-0.00010817411586928823,125
Dialister_invisus,0.00039830358602054906,0.0007505836699098458,4.6023502131252556e-05,126
Eubacterium_sp_CAG_274,0.00039744868292632856,0.0007352568097726983,5.964055607995849e-05,127
Blautia_obeum,0.0003943514684094016,0.0010084670318763961,-0.00021976409505759307,128
Lawsonibacter_asaccharolyticus,0.0003898957538806245,0.0007158244328748919,6.396707488635728e-05,129
Bacteroides_finegoldii,0.00038966078840881063,0.0008991790357561836,-0.00011985745893856212,130
Roseburia_sp_CAG_303,0.00038692612058427667,0.0007365336044611418,3.7318636707410934e-05,131
Acidaminococcus_intestini,0.0003861121069344364,0.0007177310011606355,5.449321270823713e-05,132
Paraprevotella_xylaniphila,0.00037920752823165514,0.0009943822845606073,-0.00023596722809729698,133
Veillonella_atypica,0.000377605236377682,0.0007848475753589796,-2.9637102603615417e-05,134
Bifidobacterium_dentium,0.0003674843561867753,0.0007028294386863425,3.213927368720784e-05,135
Firmicutes_bacterium_CAG_94,0.00036108324084345645,0.0007151686160522112,6.997865634701985e-06,136
Eubacterium_rectale,0.00035710813165983746,0.0012805180229527935,-0.0005663017596331178,137
Olsenella_scatoligenes,0.0003515707894043263,0.0008251831010813042,-0.00012204152227265152,138
Streptococcus_sanguinis,0.0003494561312643172,0.0009422867169344423,-0.00024337445440580818,139
Prevotella_copri,0.00034574909123322227,0.0007414988473889445,-5.0000664922499556e-05,140
Tyzzerella_nexilis,0.00034410838386658894,0.0007012651810359307,-1.304841330275278e-05,141
Firmicutes_bacterium_CAG_95,0.0003438214949798088,0.0008981135685504306,-0.0002104705785908132,142
Blautia_coccoides,0.0003394674112659124,0.00045831495060602405,0.0002206198719258006,143
Klebsiella_variicola,0.0003301372561958578,0.0006319729070364077,2.8301605355307588e-05,144
Firmicutes_bacterium_CAG_145,0.0003293352961397165,0.0009068849180337661,-0.000248214325754333,145
Alistipes_shahii,0.00032687757545849183,0.0005822996077274174,7.145554318956626e-05,146
Eubacterium_siraeum,0.00032213386163805686,0.0007898768403938786,-0.0001456091171177651,147
Streptococcus_gordonii,0.0003215840515475529,0.0008091003142795466,-0.0001659322111844411,148
Bacteroides_dorei,0.00031533290659161887,0.0007168359514528485,-8.617013826961106e-05,149
